Trial_ID,Experiment_Type,Target_Command,Voice_Input,SSVEP_Command,CCA_Max_Score,CCA_Accepted,Final_Executed_Command,Latency_sec
BOTH_FORWARD_4,BOTH,FORWARD,FORWARD,FORWARD,0.7814,True,FORWARD,2.597
BOTH_FORWARD_5,BOTH,FORWARD,FORWARD,FORWARD,0.7207,True,FORWARD,2.261
BOTH_FORWARD_6,BOTH,FORWARD,FORWARD,FORWARD,0.6596,True,FORWARD,1.916
BOTH_FORWARD_7,BOTH,FORWARD,FORWARD,FORWARD,0.7931,True,FORWARD,2.539
BOTH_FORWARD_8,BOTH,FORWARD,FORWARD,FORWARD,0.7101,True,FORWARD,1.942
BOTH_FORWARD_9,BOTH,FORWARD,FORWARD,FORWARD,0.7849,True,FORWARD,2.448
BOTH_FORWARD_10,BOTH,FORWARD,FORWARD,FORWARD,0.75,True,FORWARD,2.435
BOTH_BACKWARD_1,BOTH,BACKWARD,BACKWARD,BACKWARD,0.6672,True,BACKWARD,2.419
BOTH_BACKWARD_2,BOTH,BACKWARD,BACKWARD,BACKWARD,0.6565,True,BACKWARD,1.935
BOTH_BACKWARD_3,BOTH,BACKWARD,BACKWARD,BACKWARD,0.7194,True,BACKWARD,2.318
BOTH_BACKWARD_4,BOTH,BACKWARD,NA,BACKWARD,0.8275,True,NA,NA
BOTH_BACKWARD_5,BOTH,BACKWARD,BACKWARD,BACKWARD,0.8089,True,BACKWARD,2.205
BOTH_BACKWARD_6,BOTH,BACKWARD,BACKWARD,BACKWARD,0.7884,True,BACKWARD,2.608
BOTH_BACKWARD_7,BOTH,BACKWARD,BACKWARD,BACKWARD,0.6809,True,BACKWARD,2.044
BOTH_BACKWARD_8,BOTH,BACKWARD,BACKWARD,BACKWARD,0.7426,True,BACKWARD,2.454
BOTH_BACKWARD_9,BOTH,BACKWARD,BACKWARD,BACKWARD,0.817,True,BACKWARD,2.524
BOTH_BACKWARD_10,BOTH,BACKWARD,BACKWARD,BACKWARD,0.6711,True,BACKWARD,1.928
BOTH_LEFT_1,BOTH,LEFT,LEFT,LEFT,0.6863,True,LEFT,1.948
BOTH_LEFT_2,BOTH,LEFT,LEFT,LEFT,0.7367,True,LEFT,2.599
BOTH_LEFT_3,BOTH,LEFT,LEFT,LEFT,0.7951,True,LEFT,2.575
BOTH_LEFT_4,BOTH,LEFT,LEFT,LEFT,0.7512,True,LEFT,2.605
BOTH_LEFT_5,BOTH,LEFT,NA,LEFT,0.6986,True,NA,NA
BOTH_LEFT_6,BOTH,LEFT,LEFT,LEFT,0.7314,True,LEFT,2.193
BOTH_LEFT_7,BOTH,LEFT,LEFT,LEFT,0.7203,True,LEFT,1.646
BOTH_LEFT_8,BOTH,LEFT,LEFT,LEFT,0.8066,True,LEFT,2.51
BOTH_LEFT_9,BOTH,LEFT,LEFT,LEFT,0.6917,True,LEFT,1.573
BOTH_LEFT_10,BOTH,LEFT,LEFT,LEFT,0.7655,True,LEFT,1.782
BOTH_RIGHT_1,BOTH,RIGHT,RIGHT,RIGHT,0.7878,True,RIGHT,2.438
BOTH_RIGHT_2,BOTH,RIGHT,RIGHT,RIGHT,0.6542,True,RIGHT,1.946
BOTH_RIGHT_3,BOTH,RIGHT,RIGHT,RIGHT,0.6813,True,NA,NA
BOTH_RIGHT_4,BOTH,RIGHT,RIGHT,RIGHT,0.6872,True,RIGHT,1.927
BOTH_RIGHT_5,BOTH,RIGHT,RIGHT,RIGHT,0.6538,True,RIGHT,1.946
BOTH_RIGHT_6,BOTH,RIGHT,RIGHT,RIGHT,0.6909,True,RIGHT,2.081
BOTH_RIGHT_7,BOTH,RIGHT,RIGHT,RIGHT,0.7424,True,RIGHT,1.791
BOTH_RIGHT_8,BOTH,RIGHT,RIGHT,RIGHT,0.79,True,RIGHT,2.397
BOTH_RIGHT_9,BOTH,RIGHT,RIGHT,RIGHT,0.7682,True,RIGHT,1.998
BOTH_RIGHT_10,BOTH,RIGHT,RIGHT,RIGHT,0.8337,True,RIGHT,2.17
BOTH_STOP_1,BOTH,STOP,NA,STOP,0.7357,True,STOP,1.579
BOTH_STOP_2,BOTH,STOP,NA,STOP,0.7483,True,STOP,1.589
BOTH_STOP_3,BOTH,STOP,NA,STOP,0.7093,True,STOP,1.569
BOTH_STOP_4,BOTH,STOP,NA,STOP,0.7344,True,STOP,1.597
BOTH_STOP_5,BOTH,STOP,NA,STOP,0.7339,True,STOP,1.574
BOTH_STOP_6,BOTH,STOP,NA,STOP,0.6916,True,STOP,1.588
BOTH_STOP_7,BOTH,STOP,STOP,NA,0.4757,False,STOP,1.429
BOTH_STOP_8,BOTH,STOP,STOP,NA,0.4454,False,STOP,1.523
BOTH_STOP_9,BOTH,STOP,STOP,NA,0.5038,False,STOP,1.397
BOTH_STOP_10,BOTH,STOP,STOP,NA,0.5437,False,STOP,1.432
BOTH_UP_1,BOTH,UP,UP,UP,0.8283,True,UP,2.107
BOTH_UP_2,BOTH,UP,UP,UP,0.7272,True,UP,1.885
BOTH_UP_3,BOTH,UP,UP,UP,0.8029,True,UP,2.282
BOTH_UP_4,BOTH,UP,UP,UP,0.7131,True,UP,1.564
BOTH_UP_5,BOTH,UP,NA,UP,0.7172,True,NA,NA
BOTH_UP_6,BOTH,UP,UP,UP,0.8039,True,UP,2.243
BOTH_UP_7,BOTH,UP,UP,UP,0.7184,True,UP,1.615
BOTH_UP_8,BOTH,UP,UP,UP,0.6741,True,UP,1.945
BOTH_UP_9,BOTH,UP,UP,UP,0.8859,True,UP,2.168
BOTH_UP_10,BOTH,UP,UP,UP,0.6512,True,UP,1.718
BOTH_DOWN_1,BOTH,DOWN,DOWN,DOWN,0.7538,True,DOWN,2.466
BOTH_DOWN_2,BOTH,DOWN,DOWN,DOWN,0.7447,True,DOWN,1.996
BOTH_DOWN_3,BOTH,DOWN,DOWN,DOWN,0.7961,True,DOWN,2.192
BOTH_DOWN_4,BOTH,DOWN,DOWN,DOWN,0.7298,True,DOWN,2.585
BOTH_DOWN_5,BOTH,DOWN,DOWN,DOWN,0.6831,True,DOWN,2.057
BOTH_DOWN_6,BOTH,DOWN,DOWN,DOWN,0.7781,True,DOWN,2.113
BOTH_DOWN_7,BOTH,DOWN,DOWN,DOWN,0.7225,True,DOWN,1.784
BOTH_DOWN_8,BOTH,DOWN,DOWN,DOWN,0.7204,True,DOWN,1.925
BOTH_DOWN_9,BOTH,DOWN,DOWN,DOWN,0.8466,True,DOWN,2.045
BOTH_DOWN_10,BOTH,DOWN,DOWN,DOWN,0.7586,True,DOWN,2.627
EEG_ONLY_TAKEOFF_1,EEG_ONLY,TAKEOFF,NA,TAKEOFF,0.8199,True,TAKEOFF,2.417
EEG_ONLY_TAKEOFF_2,EEG_ONLY,TAKEOFF,NA,TAKEOFF,0.7427,True,TAKEOFF,2.522
EEG_ONLY_TAKEOFF_3,EEG_ONLY,TAKEOFF,NA,TAKEOFF,0.7787,True,TAKEOFF,2.53
EEG_ONLY_TAKEOFF_4,EEG_ONLY,TAKEOFF,NA,TAKEOFF,0.6546,True,TAKEOFF,2.471
EEG_ONLY_TAKEOFF_5,EEG_ONLY,TAKEOFF,NA,TAKEOFF,0.8129,True,TAKEOFF,2.381
EEG_ONLY_TAKEOFF_6,EEG_ONLY,TAKEOFF,NA,TAKEOFF,0.7645,True,TAKEOFF,1.653
EEG_ONLY_TAKEOFF_7,EEG_ONLY,TAKEOFF,NA,TAKEOFF,0.6901,True,TAKEOFF,3.275
EEG_ONLY_TAKEOFF_8,EEG_ONLY,TAKEOFF,NA,TAKEOFF,0.732,True,TAKEOFF,2.34
EEG_ONLY_TAKEOFF_9,EEG_ONLY,TAKEOFF,NA,TAKEOFF,0.7758,True,TAKEOFF,3.473
EEG_ONLY_TAKEOFF_10,EEG_ONLY,TAKEOFF,NA,TAKEOFF,0.766,True,TAKEOFF,2.26
EEG_ONLY_LAND_1,EEG_ONLY,LAND,NA,LAND,0.7876,True,LAND,2.508
EEG_ONLY_LAND_2,EEG_ONLY,LAND,NA,LAND,0.7894,True,LAND,2.489
EEG_ONLY_LAND_3,EEG_ONLY,LAND,NA,LAND,0.7844,True,LAND,2.466
EEG_ONLY_LAND_4,EEG_ONLY,LAND,NA,NA,0.6173,False,NA,NA
EEG_ONLY_LAND_5,EEG_ONLY,LAND,NA,LAND,0.7493,True,LAND,1.989
EEG_ONLY_LAND_6,EEG_ONLY,LAND,NA,LAND,0.7917,True,LAND,2.487
EEG_ONLY_LAND_7,EEG_ONLY,LAND,NA,LAND,0.7902,True,LAND,2.511
EEG_ONLY_LAND_8,EEG_ONLY,LAND,NA,LAND,0.7255,True,LAND,2.008
EEG_ONLY_LAND_9,EEG_ONLY,LAND,NA,LAND,0.7023,True,LAND,2.484
EEG_ONLY_LAND_10,EEG_ONLY,LAND,NA,LAND,0.6644,True,LAND,2.219
EEG_ONLY_FORWARD_1,EEG_ONLY,FORWARD,NA,FORWARD,0.6688,True,FORWARD,2.51
EEG_ONLY_FORWARD_2,EEG_ONLY,FORWARD,NA,FORWARD,0.705,True,FORWARD,2.441
EEG_ONLY_FORWARD_3,EEG_ONLY,FORWARD,NA,FORWARD,0.7607,True,FORWARD,2.497
EEG_ONLY_FORWARD_4,EEG_ONLY,FORWARD,NA,FORWARD,0.7976,True,FORWARD,2.257
EEG_ONLY_FORWARD_5,EEG_ONLY,FORWARD,NA,FORWARD,0.8308,True,FORWARD,1.493
EEG_ONLY_FORWARD_6,EEG_ONLY,FORWARD,NA,FORWARD,0.7468,True,FORWARD,2.362
EEG_ONLY_FORWARD_7,EEG_ONLY,FORWARD,NA,FORWARD,0.8314,True,FORWARD,1.74
EEG_ONLY_FORWARD_8,EEG_ONLY,FORWARD,NA,FORWARD,0.6739,True,FORWARD,2.447
EEG_ONLY_FORWARD_9,EEG_ONLY,FORWARD,NA,FORWARD,0.7207,True,FORWARD,1.899
EEG_ONLY_FORWARD_10,EEG_ONLY,FORWARD,NA,FORWARD,0.7096,True,FORWARD,2.86
EEG_ONLY_BACKWARD_1,EEG_ONLY,BACKWARD,NA,BACKWARD,0.8637,True,BACKWARD,3.218
EEG_ONLY_BACKWARD_2,EEG_ONLY,BACKWARD,NA,BACKWARD,0.6694,True,BACKWARD,3.469
EEG_ONLY_BACKWARD_3,EEG_ONLY,BACKWARD,NA,BACKWARD,0.6627,True,BACKWARD,2.468
EEG_ONLY_BACKWARD_4,EEG_ONLY,BACKWARD,NA,BACKWARD,0.7339,True,BACKWARD,2.263
EEG_ONLY_BACKWARD_5,EEG_ONLY,BACKWARD,NA,BACKWARD,0.685,True,BACKWARD,2.513
EEG_ONLY_BACKWARD_6,EEG_ONLY,BACKWARD,NA,BACKWARD,0.8122,True,BACKWARD,3.397
EEG_ONLY_BACKWARD_7,EEG_ONLY,BACKWARD,NA,BACKWARD,0.7678,True,BACKWARD,2.636
EEG_ONLY_BACKWARD_8,EEG_ONLY,BACKWARD,NA,BACKWARD,0.6849,True,BACKWARD,2.379
EEG_ONLY_BACKWARD_9,EEG_ONLY,BACKWARD,NA,BACKWARD,0.7034,True,BACKWARD,2.215
EEG_ONLY_BACKWARD_10,EEG_ONLY,BACKWARD,NA,BACKWARD,0.6644,True,BACKWARD,2.345
EEG_ONLY_LEFT_1,EEG_ONLY,LEFT,NA,STOP,0.6898,True,STOP,2.465
EEG_ONLY_LEFT_2,EEG_ONLY,LEFT,NA,LEFT,0.8326,True,LEFT,3.419
EEG_ONLY_LEFT_3,EEG_ONLY,LEFT,NA,LEFT,0.6884,True,LEFT,3.382
EEG_ONLY_LEFT_4,EEG_ONLY,LEFT,NA,LEFT,0.7734,True,LEFT,2.186
EEG_ONLY_LEFT_5,EEG_ONLY,LEFT,NA,NA,0.3513,False,STOP,1.643
EEG_ONLY_LEFT_6,EEG_ONLY,LEFT,NA,LEFT,0.7242,True,LEFT,3.36
EEG_ONLY_LEFT_7,EEG_ONLY,LEFT,NA,LEFT,0.6881,True,LEFT,1.781
EEG_ONLY_LEFT_8,EEG_ONLY,LEFT,NA,LEFT,0.8158,True,LEFT,2.864
EEG_ONLY_LEFT_9,EEG_ONLY,LEFT,NA,BACKWARD,0.6515,True,BACKWARD,2.438
EEG_ONLY_LEFT_10,EEG_ONLY,LEFT,NA,LEFT,0.8629,True,LEFT,3.533
EEG_ONLY_RIGHT_1,EEG_ONLY,RIGHT,NA,RIGHT,0.6814,True,RIGHT,3.501
EEG_ONLY_RIGHT_2,EEG_ONLY,RIGHT,NA,RIGHT,0.7938,True,RIGHT,3.501
EEG_ONLY_RIGHT_3,EEG_ONLY,RIGHT,NA,RIGHT,0.7716,True,RIGHT,3.088
EEG_ONLY_RIGHT_4,EEG_ONLY,RIGHT,NA,RIGHT,0.7121,True,RIGHT,2.488
EEG_ONLY_RIGHT_5,EEG_ONLY,RIGHT,NA,RIGHT,0.7573,True,RIGHT,3.068
EEG_ONLY_RIGHT_6,EEG_ONLY,RIGHT,NA,RIGHT,0.729,True,RIGHT,2.528
EEG_ONLY_RIGHT_7,EEG_ONLY,RIGHT,NA,RIGHT,0.7975,True,RIGHT,3.034
EEG_ONLY_RIGHT_8,EEG_ONLY,RIGHT,NA,RIGHT,0.739,True,RIGHT,3.506
EEG_ONLY_RIGHT_9,EEG_ONLY,RIGHT,NA,RIGHT,0.799,True,RIGHT,3.423
EEG_ONLY_RIGHT_10,EEG_ONLY,RIGHT,NA,RIGHT,0.6656,True,RIGHT,2.591
EEG_ONLY_STOP_1,EEG_ONLY,STOP,NA,STOP,0.6539,True,STOP,2.385
EEG_ONLY_STOP_2,EEG_ONLY,STOP,NA,STOP,0.7364,True,STOP,2.077
EEG_ONLY_STOP_3,EEG_ONLY,STOP,NA,STOP,0.8677,True,STOP,3.379
EEG_ONLY_STOP_4,EEG_ONLY,STOP,NA,STOP,0.6616,True,STOP,2.336
EEG_ONLY_STOP_5,EEG_ONLY,STOP,NA,STOP,0.6907,True,STOP,2.135
EEG_ONLY_STOP_6,EEG_ONLY,STOP,NA,STOP,0.669,True,STOP,3.527
EEG_ONLY_STOP_7,EEG_ONLY,STOP,NA,NA,0.5904,False,NA,NA
EEG_ONLY_STOP_8,EEG_ONLY,STOP,NA,STOP,0.7073,True,STOP,2.833
EEG_ONLY_STOP_9,EEG_ONLY,STOP,NA,STOP,0.8242,True,STOP,3.001
EEG_ONLY_STOP_10,EEG_ONLY,STOP,NA,STOP,0.7333,True,STOP,2.508
EEG_ONLY_UP_1,EEG_ONLY,UP,NA,UP,0.892,True,UP,2.966
EEG_ONLY_UP_2,EEG_ONLY,UP,NA,UP,0.7288,True,UP,1.121
EEG_ONLY_UP_3,EEG_ONLY,UP,NA,UP,0.7788,True,UP,3.42
EEG_ONLY_UP_4,EEG_ONLY,UP,NA,UP,0.7326,True,UP,2.49
EEG_ONLY_UP_5,EEG_ONLY,UP,NA,UP,0.8183,True,UP,3.269
EEG_ONLY_UP_6,EEG_ONLY,UP,NA,UP,0.8165,True,UP,2.901
EEG_ONLY_UP_7,EEG_ONLY,UP,NA,UP,0.7589,True,UP,2.012
EEG_ONLY_UP_8,EEG_ONLY,UP,NA,UP,0.7797,True,UP,2.405
EEG_ONLY_UP_9,EEG_ONLY,UP,NA,UP,0.7085,True,UP,3.52
EEG_ONLY_UP_10,EEG_ONLY,UP,NA,UP,0.871,True,UP,2.488
EEG_ONLY_DOWN_1,EEG_ONLY,DOWN,NA,DOWN,0.8216,True,DOWN,3.28
EEG_ONLY_DOWN_2,EEG_ONLY,DOWN,NA,STOP,0.653,True,STOP,2.487
EEG_ONLY_DOWN_3,EEG_ONLY,DOWN,NA,DOWN,0.7186,True,DOWN,2.097
EEG_ONLY_DOWN_4,EEG_ONLY,DOWN,NA,NA,0.6311,False,NA,NA
EEG_ONLY_DOWN_5,EEG_ONLY,DOWN,NA,DOWN,0.8164,True,DOWN,3.012
EEG_ONLY_DOWN_6,EEG_ONLY,DOWN,NA,DOWN,0.8458,True,DOWN,3.034
EEG_ONLY_DOWN_7,EEG_ONLY,DOWN,NA,DOWN,0.7522,True,DOWN,2.448
EEG_ONLY_DOWN_8,EEG_ONLY,DOWN,NA,DOWN,0.7707,True,DOWN,2.262
EEG_ONLY_DOWN_9,EEG_ONLY,DOWN,NA,DOWN,0.7862,True,DOWN,2.425
EEG_ONLY_DOWN_10,EEG_ONLY,DOWN,NA,DOWN,0.7698,True,DOWN,2.416
VOICE_ONLY_TAKEOFF_1,VOICE_ONLY,TAKEOFF,NA,NA,0.0,False,TAKEOFF,2.217
VOICE_ONLY_TAKEOFF_2,VOICE_ONLY,TAKEOFF,NA,NA,0.0,False,TAKEOFF,2.453
VOICE_ONLY_TAKEOFF_3,VOICE_ONLY,TAKEOFF,NA,NA,0.0,False,TAKEOFF,2.428
VOICE_ONLY_TAKEOFF_4,VOICE_ONLY,TAKEOFF,NA,NA,0.0,False,TAKEOFF,2.453
VOICE_ONLY_TAKEOFF_5,VOICE_ONLY,TAKEOFF,NA,NA,0.0,False,TAKEOFF,1.93
VOICE_ONLY_TAKEOFF_6,VOICE_ONLY,TAKEOFF,NA,NA,0.0,False,TAKEOFF,2.448
VOICE_ONLY_TAKEOFF_7,VOICE_ONLY,TAKEOFF,NA,NA,0.0,False,TAKEOFF,2.435
VOICE_ONLY_TAKEOFF_8,VOICE_ONLY,TAKEOFF,NA,NA,0.0,False,TAKEOFF,2.434
VOICE_ONLY_TAKEOFF_9,VOICE_ONLY,TAKEOFF,NA,NA,0.0,False,TAKEOFF,1.961
VOICE_ONLY_TAKEOFF_10,VOICE_ONLY,TAKEOFF,NA,NA,0.0,False,TAKEOFF,1.922
VOICE_ONLY_LAND_1,VOICE_ONLY,LAND,NA,NA,0.0,False,LAND,2.025
OICE_ONLY_LAND_3,VOICE_ONLY,LAND,NA,NA,0.0,False,LAND,1.948
VOICE_ONLY_LAND_4,VOICE_ONLY,LAND,NA,NA,0.0,False,LAND,1.927
VOICE_ONLY_LAND_5,VOICE_ONLY,LAND,NA,NA,0.0,False,LAND,1.919
VOICE_ONLY_LAND_6,VOICE_ONLY,LAND,NA,NA,0.0,False,LAND,1.961
VOICE_ONLY_LAND_7,VOICE_ONLY,LAND,NA,NA,0.0,False,LAND,2.448
VOICE_ONLY_LAND_8,VOICE_ONLY,LAND,NA,NA,0.0,False,LAND,2.444
VOICE_ONLY_LAND_9,VOICE_ONLY,LAND,NA,NA,0.0,False,LAND,2.022
VOICE_ONLY_LAND_10,VOICE_ONLY,LAND,NA,NA,0.0,False,LAND,2.456
VOICE_ONLY_FORWARD_1,VOICE_ONLY,FORWARD,NA,NA,0.0,False,FORWARD,2.445
VOICE_ONLY_FORWARD_2,VOICE_ONLY,FORWARD,NA,NA,0.0,False,FORWARD,2.429
VOICE_ONLY_FORWARD_3,VOICE_ONLY,FORWARD,NA,NA,0.0,False,FORWARD,2.434
VOICE_ONLY_FORWARD_4,VOICE_ONLY,FORWARD,NA,NA,0.0,False,FORWARD,2.439
VOICE_ONLY_FORWARD_5,VOICE_ONLY,FORWARD,NA,NA,0.0,False,FORWARD,2.44
VOICE_ONLY_FORWARD_6,VOICE_ONLY,FORWARD,NA,NA,0.0,False,FORWARD,1.944
VOICE_ONLY_FORWARD_7,VOICE_ONLY,FORWARD,NA,NA,0.0,False,FORWARD,2.428
VOICE_ONLY_FORWARD_8,VOICE_ONLY,FORWARD,NA,NA,0.0,False,FORWARD,2.454
VOICE_ONLY_FORWARD_9,VOICE_ONLY,FORWARD,NA,NA,0.0,False,FORWARD,2.456
VOICE_ONLY_FORWARD_10,VOICE_ONLY,FORWARD,NA,NA,0.0,False,FORWARD,2.441
VOICE_ONLY_BACKWARD_1,VOICE_ONLY,BACKWARD,NA,NA,0.0,False,BACKWARD,2.976
VOICE_ONLY_BACKWARD_2,VOICE_ONLY,BACKWARD,NA,NA,0.0,False,BACKWARD,2.419
VOICE_ONLY_BACKWARD_3,VOICE_ONLY,BACKWARD,NA,NA,0.0,False,BACKWARD,2.444
VOICE_ONLY_BACKWARD_4,VOICE_ONLY,BACKWARD,NA,NA,0.0,False,BACKWARD,2.442
VOICE_ONLY_BACKWARD_5,VOICE_ONLY,BACKWARD,NA,NA,0.0,False,BACKWARD,2.454
VOICE_ONLY_BACKWARD_6,VOICE_ONLY,BACKWARD,NA,NA,0.0,False,BACKWARD,2.412
VOICE_ONLY_BACKWARD_7,VOICE_ONLY,BACKWARD,NA,NA,0.0,False,BACKWARD,2.439
VOICE_ONLY_BACKWARD_8,VOICE_ONLY,BACKWARD,NA,NA,0.0,False,BACKWARD,1.947
VOICE_ONLY_BACKWARD_9,VOICE_ONLY,BACKWARD,NA,NA,0.0,False,BACKWARD,2.451
VOICE_ONLY_BACKWARD_10,VOICE_ONLY,BACKWARD,NA,NA,0.0,False,BACKWARD,2.02
VOICE_ONLY_LEFT_1,VOICE_ONLY,LEFT,NA,NA,0.0,False,LEFT,1.925
VOICE_ONLY_LEFT_2,VOICE_ONLY,LEFT,NA,NA,0.0,False,LEFT,1.949
VOICE_ONLY_LEFT_3,VOICE_ONLY,LEFT,NA,NA,0.0,False,LEFT,1.922
VOICE_ONLY_LEFT_4,VOICE_ONLY,LEFT,NA,NA,0.0,False,LEFT,1.962
VOICE_ONLY_LEFT_5,VOICE_ONLY,LEFT,NA,NA,0.0,False,LEFT,1.917
VOICE_ONLY_LEFT_6,VOICE_ONLY,LEFT,NA,NA,0.0,False,LEFT,2.044
VOICE_ONLY_LEFT_7,VOICE_ONLY,LEFT,NA,NA,0.0,False,LEFT,1.924
VOICE_ONLY_LEFT_8,VOICE_ONLY,LEFT,NA,NA,0.0,False,LEFT,1.947
VOICE_ONLY_LEFT_9,VOICE_ONLY,LEFT,NA,NA,0.0,False,LEFT,1.927
VOICE_ONLY_LEFT_10,VOICE_ONLY,LEFT,NA,NA,0.0,False,LEFT,1.944
VOICE_ONLY_RIGHT_1,VOICE_ONLY,RIGHT,NA,NA,0.0,False,RIGHT,1.902
VOICE_ONLY_RIGHT_2,VOICE_ONLY,RIGHT,NA,NA,0.0,False,RIGHT,2.024
VOICE_ONLY_RIGHT_3,VOICE_ONLY,RIGHT,NA,NA,0.0,False,RIGHT,1.931
VOICE_ONLY_RIGHT_4,VOICE_ONLY,RIGHT,NA,NA,0.0,False,RIGHT,1.937
VOICE_ONLY_RIGHT_5,VOICE_ONLY,RIGHT,RIGHT,NA,0.0,False,RIGHT,1.96
VOICE_ONLY_RIGHT_6,VOICE_ONLY,RIGHT,NA,NA,0.0,False,RIGHT,1.937
VOICE_ONLY_RIGHT_7,VOICE_ONLY,RIGHT,NA,NA,0.0,False,RIGHT,1.925
VOICE_ONLY_RIGHT_8,VOICE_ONLY,RIGHT,NA,NA,0.0,False,RIGHT,2.02
VOICE_ONLY_RIGHT_9,VOICE_ONLY,RIGHT,NA,NA,0.0,False,RIGHT,2.449
VOICE_ONLY_RIGHT_10,VOICE_ONLY,RIGHT,NA,NA,0.0,False,RIGHT,1.919
VOICE_ONLY_STOP_1,VOICE_ONLY,STOP,NA,NA,0.0,False,STOP,1.925
VOICE_ONLY_STOP_2,VOICE_ONLY,STOP,NA,NA,0.0,False,STOP,1.925
VOICE_ONLY_STOP_3,VOICE_ONLY,STOP,NA,NA,0.0,False,STOP,1.934
VOICE_ONLY_STOP_4,VOICE_ONLY,STOP,NA,NA,0.0,False,STOP,1.997
VOICE_ONLY_STOP_5,VOICE_ONLY,STOP,NA,NA,0.0,False,STOP,1.955
VOICE_ONLY_STOP_6,VOICE_ONLY,STOP,NA,NA,0.0,False,STOP,1.913
VOICE_ONLY_STOP_7,VOICE_ONLY,STOP,NA,NA,0.0,False,STOP,1.927
VOICE_ONLY_STOP_8,VOICE_ONLY,STOP,NA,NA,0.0,False,STOP,1.93
VOICE_ONLY_STOP_9,VOICE_ONLY,STOP,NA,NA,0.0,False,STOP,1.921
VOICE_ONLY_STOP_10,VOICE_ONLY,STOP,NA,NA,0.0,False,STOP,2.019
VOICE_ONLY_UP_1,VOICE_ONLY,UP,NA,NA,0.0,False,STOP,1.929
VOICE_ONLY_UP_2,VOICE_ONLY,UP,NA,NA,0.0,False,UP,1.957
VOICE_ONLY_UP_3,VOICE_ONLY,UP,NA,NA,0.0,False,UP,1.917
VOICE_ONLY_UP_4,VOICE_ONLY,UP,NA,NA,0.0,False,UP,1.947
VOICE_ONLY_UP_5,VOICE_ONLY,UP,NA,NA,0.0,False,UP,4.999
VOICE_ONLY_UP_6,VOICE_ONLY,UP,NA,NA,0.0,False,UP,1.932
VOICE_ONLY_UP_7,VOICE_ONLY,UP,NA,NA,0.0,False,UP,1.921
VOICE_ONLY_UP_8,VOICE_ONLY,UP,NA,NA,0.0,False,UP,1.95
VOICE_ONLY_UP_9,VOICE_ONLY,UP,NA,NA,0.0,False,UP,1.912
VOICE_ONLY_UP_10,VOICE_ONLY,UP,NA,NA,0.0,False,UP,1.951
VOICE_ONLY_DOWN_1,VOICE_ONLY,DOWN,NA,NA,0.0,False,DOWN,2.431
VOICE_ONLY_DOWN_2,VOICE_ONLY,DOWN,NA,NA,0.0,False,DOWN,2.026
VOICE_ONLY_DOWN_3,VOICE_ONLY,DOWN,NA,NA,0.0,False,DOWN,2.438
VOICE_ONLY_DOWN_4,VOICE_ONLY,DOWN,NA,NA,0.0,False,DOWN,1.924
