Trial_ID,Experiment_Type,Target_Command,Voice_Input,SSVEP_Command,CCA_Max_Score,CCA_Accepted,Final_Executed_Command,Latency_sec
VOICE_ONLY_LEFT_2,VOICE_ONLY,LEFT,NA,NA,0.0,False,LEFT,1.949
VOICE_ONLY_LEFT_3,VOICE_ONLY,LEFT,NA,NA,0.0,False,LEFT,1.922
VOICE_ONLY_LEFT_4,VOICE_ONLY,LEFT,NA,NA,0.0,False,LEFT,1.962
VOICE_ONLY_LEFT_5,VOICE_ONLY,LEFT,NA,NA,0.0,False,LEFT,1.917
VOICE_ONLY_LEFT_6,VOICE_ONLY,LEFT,NA,NA,0.0,False,LEFT,2.044
VOICE_ONLY_LEFT_7,VOICE_ONLY,LEFT,NA,NA,0.0,False,LEFT,1.924
VOICE_ONLY_LEFT_8,VOICE_ONLY,LEFT,NA,NA,0.0,False,LEFT,1.947
VOICE_ONLY_LEFT_9,VOICE_ONLY,LEFT,NA,NA,0.0,False,LEFT,1.927
VOICE_ONLY_LEFT_10,VOICE_ONLY,LEFT,NA,NA,0.0,False,LEFT,1.944
VOICE_ONLY_RIGHT_1,VOICE_ONLY,RIGHT,NA,NA,0.0,False,RIGHT,1.902
VOICE_ONLY_RIGHT_2,VOICE_ONLY,RIGHT,NA,NA,0.0,False,RIGHT,2.024
VOICE_ONLY_RIGHT_3,VOICE_ONLY,RIGHT,NA,NA,0.0,False,RIGHT,1.931
VOICE_ONLY_RIGHT_4,VOICE_ONLY,RIGHT,NA,NA,0.0,False,RIGHT,1.937
VOICE_ONLY_RIGHT_5,VOICE_ONLY,RIGHT,RIGHT,NA,0.0,False,RIGHT,1.96
VOICE_ONLY_RIGHT_6,VOICE_ONLY,RIGHT,NA,NA,0.0,False,RIGHT,1.937
VOICE_ONLY_RIGHT_7,VOICE_ONLY,RIGHT,NA,NA,0.0,False,RIGHT,1.925
VOICE_ONLY_RIGHT_8,VOICE_ONLY,RIGHT,NA,NA,0.0,False,RIGHT,2.02
VOICE_ONLY_RIGHT_9,VOICE_ONLY,RIGHT,NA,NA,0.0,False,RIGHT,2.449
VOICE_ONLY_RIGHT_10,VOICE_ONLY,RIGHT,NA,NA,0.0,False,RIGHT,1.919
VOICE_ONLY_STOP_1,VOICE_ONLY,STOP,NA,NA,0.0,False,STOP,1.925
VOICE_ONLY_STOP_2,VOICE_ONLY,STOP,NA,NA,0.0,False,STOP,1.925
VOICE_ONLY_STOP_3,VOICE_ONLY,STOP,NA,NA,0.0,False,STOP,1.934
VOICE_ONLY_STOP_4,VOICE_ONLY,STOP,NA,NA,0.0,False,STOP,1.997
VOICE_ONLY_STOP_5,VOICE_ONLY,STOP,NA,NA,0.0,False,STOP,1.955
VOICE_ONLY_STOP_6,VOICE_ONLY,STOP,NA,NA,0.0,False,STOP,1.913
VOICE_ONLY_STOP_7,VOICE_ONLY,STOP,NA,NA,0.0,False,STOP,1.927
VOICE_ONLY_STOP_8,VOICE_ONLY,STOP,NA,NA,0.0,False,STOP,1.93
VOICE_ONLY_STOP_9,VOICE_ONLY,STOP,NA,NA,0.0,False,STOP,1.921
VOICE_ONLY_STOP_10,VOICE_ONLY,STOP,NA,NA,0.0,False,STOP,2.019
VOICE_ONLY_UP_1,VOICE_ONLY,UP,NA,NA,0.0,False,STOP,1.929
VOICE_ONLY_UP_2,VOICE_ONLY,UP,NA,NA,0.0,False,UP,1.957
VOICE_ONLY_UP_3,VOICE_ONLY,UP,NA,NA,0.0,False,UP,1.917
VOICE_ONLY_UP_4,VOICE_ONLY,UP,NA,NA,0.0,False,UP,1.947
VOICE_ONLY_UP_5,VOICE_ONLY,UP,NA,NA,0.0,False,UP,4.999
VOICE_ONLY_UP_6,VOICE_ONLY,UP,NA,NA,0.0,False,UP,1.932
VOICE_ONLY_UP_7,VOICE_ONLY,UP,NA,NA,0.0,False,UP,1.921
VOICE_ONLY_UP_8,VOICE_ONLY,UP,NA,NA,0.0,False,UP,1.95
VOICE_ONLY_UP_9,VOICE_ONLY,UP,NA,NA,0.0,False,UP,1.912
VOICE_ONLY_UP_10,VOICE_ONLY,UP,NA,NA,0.0,False,UP,1.951
VOICE_ONLY_DOWN_1,VOICE_ONLY,DOWN,NA,NA,0.0,False,DOWN,2.431
VOICE_ONLY_DOWN_2,VOICE_ONLY,DOWN,NA,NA,0.0,False,DOWN,2.026
VOICE_ONLY_DOWN_3,VOICE_ONLY,DOWN,NA,NA,0.0,False,DOWN,2.438
VOICE_ONLY_DOWN_4,VOICE_ONLY,DOWN,NA,NA,0.0,False,DOWN,1.924
VOICE_ONLY_DOWN_5,VOICE_ONLY,DOWN,NA,NA,0.0,False,DOWN,1.942
VOICE_ONLY_DOWN_6,VOICE_ONLY,DOWN,NA,NA,0.0,False,DOWN,1.95
VOICE_ONLY_DOWN_7,VOICE_ONLY,DOWN,NA,NA,0.0,False,DOWN,1.928
VOICE_ONLY_DOWN_8,VOICE_ONLY,DOWN,NA,NA,0.0,False,DOWN,2.433
VOICE_ONLY_DOWN_9,VOICE_ONLY,DOWN,NA,NA,0.0,False,DOWN,2.049
VOICE_ONLY_DOWN_10,VOICE_ONLY,DOWN,NA,NA,0.0,False,DOWN,1.913
